,SS,lam.hat500
1,BG_15_1,0.972468591
2,BG_15_10,0.840445484
3,BG_15_100,0.046488518
4,BG_15_11,1.017288891
5,BG_15_12,0.819753899
6,BG_15_13,0.195497818
7,BG_15_14,0.519434577
8,BG_15_15,0.59434996
9,BG_15_16,2.396944951
10,BG_15_17,1.959802986
11,BG_15_18,10.24659132
12,BG_15_19,0.813168647
13,BG_15_2,0.908878491
14,BG_15_20,0.076605734
15,BG_15_21,0.570146995
16,BG_15_22,0.643827159
17,BG_15_23,0.23654994
18,BG_15_24,0.569949525
19,BG_15_26,0.705889276
20,BG_15_27,2.288498915
21,BG_15_28,10.26415485
22,BG_15_29,0.395787946
23,BG_15_3,0.179013703
24,BG_15_30,0.025683287
25,BG_15_31,0.528518273
26,BG_15_32,0.2501072
27,BG_15_33,0.132224348
28,BG_15_34,0.678973271
29,BG_15_35,0.758193302
30,BG_15_36,0.795132288
31,BG_15_37,4.686647007
32,BG_15_38,7.132186578
33,BG_15_39,1.39539208
34,BG_15_4,0.31051006
35,BG_15_40,0.69095585
36,BG_15_41,0.600772574
37,BG_15_42,0.446161469
38,BG_15_43,0.659526036
39,BG_15_44,2.207817419
40,BG_15_45,1.08835412
41,BG_15_46,1.651306837
42,BG_15_47,3.181950438
43,BG_15_48,4.0722694
44,BG_15_49,2.44403714
45,BG_15_5,0.785205115
46,BG_15_50,1.618872493
47,BG_15_51,0.622582199
48,BG_15_52,0.471295345
49,BG_15_53,1.029744174
50,BG_15_54,1.118961895
51,BG_15_55,0.775718027
52,BG_15_56,2.524595699
53,BG_15_57,2.005683624
54,BG_15_58,1.102096149
55,BG_15_59,1.603858392
56,BG_15_6,1.280917705
57,BG_15_60,0.991300187
58,BG_15_61,0.903695192
59,BG_15_62,0.951363298
60,BG_15_63,1.17319091
61,BG_15_64,0.619026843
62,BG_15_65,2.373133434
63,BG_15_66,2.232647391
64,BG_15_67,2.05539439
65,BG_15_68,0.308902507
66,BG_15_69,0.775800298
67,BG_15_7,1.351825587
68,BG_15_70,0.611456883
69,BG_15_71,2.384879878
70,BG_15_72,2.183952441
71,BG_15_73,3.453152305
72,BG_15_74,1.912567265
73,BG_15_75,2.116145753
74,BG_15_77,1.893139763
75,BG_15_78,0.170876814
76,BG_15_79,0.310075054
77,BG_15_8,4.812460682
78,BG_15_80,0.911639484
79,BG_15_81,2.660185582
80,BG_15_82,2.304052649
81,BG_15_83,2.512593783
82,BG_15_84,1.010340773
83,BG_15_85,0.863751868
84,BG_15_86,5.735053902
85,BG_15_87,1.956005448
86,BG_15_88,0.191015984
87,BG_15_89,0.554938517
88,BG_15_9,1.537596616
89,BG_15_90,0.259607204
90,BG_15_91,4.187265217
91,BG_15_92,1.868906506
92,BG_15_93,1.408218501
93,BG_15_94,2.2157799
94,BG_15_95,0.752600005
95,BG_15_96,1.224059407
96,BG_15_97,0.416031876
97,BG_15_98,0.072852475
98,BG_15_99,0.240267462
