"","p.Int.","lam.Int.","p.Julian.","lam.Jackpine_50.","lam.S150.VPD__3.4m_Grid.1x1m.mean.","lam.S150.VPD__4.5m_Grid.1x1m.mean.","lam.Species_Pice_Gla_v1_50.","lam.Structure_Biomass_TotalDead_v1_50.","R.2","df","logLik","AIC","delta","weight"
"19",-1.3747445605203,0.841711890579003,-0.305764266849712,0.288957344818973,NA,NA,0.179060458094548,NA,0.207299424162535,5,-330.660322983302,671.320645966605,0,0.314619631276
"35",-1.31637153313017,0.79483448747063,-0.292037600578925,0.30157626829643,NA,NA,NA,-0.204826001227577,0.202267485869548,5,-330.970384186924,671.940768373847,0.620122407242548,0.230742688207513
"11",-1.34810469737056,0.829480764897448,-0.327242421335822,0.299548369624502,NA,0.164591995837264,NA,NA,0.192528609086167,5,-331.56496387391,673.12992774782,1.80928178121565,0.127322533235585
"3",-1.2669382137179,0.776722248099661,-0.30276325622407,0.306532796758159,NA,NA,NA,NA,0.167623700727394,4,-333.053436682391,674.106873364782,2.78622739817763,0.078120358128696
"7",-1.31756956211467,0.812735363828294,-0.320024901318167,0.31562994839598,0.0959702530192552,NA,NA,NA,0.175798896800137,5,-332.569803549428,675.139607098855,3.81896113225059,0.0466132028191231
"50",-1.31263765892194,0.787001660268139,NA,0.277126637600051,NA,NA,0.144600933370844,-0.189795127674067,0.170326022372847,5,-332.894098689855,675.78819737971,4.4675514131053,0.0337030616329726
"42",-1.28529326538108,0.766363844384298,NA,0.285785715075725,NA,0.14082465363848,NA,-0.236636954062687,0.165073155354152,5,-333.203351616855,676.406703233709,5.08605726710448,0.0247378820723162
"34",-1.2299754274809,0.734764820902655,NA,0.293632487512545,NA,NA,NA,-0.216188437493335,0.144960115166986,4,-334.369747958191,676.739495916381,5.41884994977659,0.0209458265089435
"18",-1.27811021933962,0.777611906529577,NA,0.276587072148423,NA,NA,0.170924181517975,NA,0.142664662699977,4,-334.501117808446,677.002235616891,5.68158965028636,0.018367256921926
"14",-1.2158786479233,0.724168395353714,NA,0.234508982309075,-0.492083418568545,0.569356699023427,NA,NA,0.153176050273092,5,-333.896638488961,677.793276977922,6.47263101131716,0.012367213320334
"26",-1.30389188045396,0.792195424248211,NA,0.276003396651547,NA,0.0875116349604815,0.158474517568893,NA,0.150553011213713,5,-334.048181516007,678.096363032015,6.77571706541005,0.0106281469737673
"13",-1.18791915958114,0.722261150409514,-0.294867917401693,NA,-0.595187345867963,0.704981191345082,NA,NA,0.149914071074325,5,-334.085024660355,678.170049320709,6.84940335410442,0.0102436982575694
"38",-1.25258217764041,0.749247328533097,NA,0.298510603674011,0.0655081247018325,NA,NA,-0.224651629431902,0.149262900972118,5,-334.122544538723,678.245089077445,6.92444311084034,0.0098664768471007
"22",-1.28172480833125,0.780099075805376,NA,0.278239579587901,0.0125948629059152,NA,0.169426216722248,NA,0.142824198332992,5,-334.491998887183,678.983997774365,7.66335180776048,0.00681883397306879
"49",-1.25748104843232,0.775354141626611,-0.293519241835645,NA,NA,NA,0.187114618814942,-0.185127352990223,0.142533939391021,5,-334.508588576966,679.017177153932,7.69653118732742,0.00670664479760601
"44",-1.17892411759376,0.69378786254238,NA,NA,-0.650287126942978,0.743947161683633,NA,-0.25096265742961,0.141745735173887,5,-334.553609911486,679.107219822971,7.78657385636632,0.00641139875248992
"2",-1.17550518217242,0.71626542466463,NA,0.294428525914367,NA,NA,NA,NA,0.104914895474883,3,-336.612511564,679.225023128,7.90437716139502,0.006044663451958
"41",-1.25776791941619,0.7771611402799,-0.320779869084182,NA,NA,0.190604107288234,NA,-0.242701932941485,0.138902785752359,5,-334.715653158962,679.431306317923,8.11066035131853,0.00545228187532625
"10",-1.21397343320549,0.738109846119284,NA,0.290051356953289,NA,0.121035828992995,NA,NA,0.120252613487706,4,-335.765595704721,679.531191409442,8.2105454428372,0.00518666893804727
"28",-1.21746797538941,0.729012333855184,NA,NA,-0.675802351467252,0.702559744555373,0.201163132517828,NA,0.137898281463689,5,-334.772780301723,679.545560603447,8.22491463684207,0.00514953835579572
"17",-1.22873112497328,0.768401188113259,-0.295113974840377,NA,NA,NA,0.211188444927927,NA,0.115199713956012,4,-336.046225984832,680.092451969663,8.7718060030586,0.00391753013607288
"25",-1.27551350711402,0.797038967860654,-0.317700559628114,NA,NA,0.123439555416855,0.189985629363856,NA,0.131111014146931,5,-335.157043258293,680.314086516586,8.99344054998153,0.00350659020742233
"6",-1.1898498007654,0.725652705991698,NA,0.298780001233911,0.0463560639260751,NA,NA,NA,0.107096785857591,4,-336.492921653142,680.985843306284,9.66519733967937,0.00250619513256023
"33",-1.16407333903688,0.723019646779467,-0.287554119716361,NA,NA,NA,NA,-0.21234775521919,0.101145235680912,4,-336.818442214169,681.636884428339,10.3162384617339,0.00180985215308056
"21",-1.23152969645731,0.770584403819828,-0.297364080385108,NA,0.0114264261971933,NA,0.20929554901294,NA,0.115341794288924,5,-336.038356982693,682.076713965387,10.756067998782,0.00145256417329254
"12",-1.11181417871019,0.672799951282955,NA,NA,-0.644322038368868,0.710334419384926,NA,NA,0.0935025044417908,4,-337.233315340287,682.466630680573,11.1459847139685,0.00119526991771536
"9",-1.19384856926827,0.753854185404529,-0.320790725570321,NA,NA,0.16798464511985,NA,NA,0.0900704980284992,4,-337.418479417452,682.836958834905,11.5163128683001,0.000993230969080112
"37",-1.19655769836533,0.745047203254356,-0.302174420236591,NA,0.0745823764688847,NA,NA,-0.223715634988179,0.107084029512026,5,-336.493621680265,682.98724336053,11.6665973939247,0.000921332481310304
"48",-1.17542732797648,0.72089027051496,NA,NA,NA,NA,0.177575660372996,-0.186763342531013,0.0823150405605968,4,-337.834343599959,683.668687199918,12.3480412333128,0.000655303870021748
"1",-1.12066734328334,0.710569864133971,-0.289712892363508,NA,NA,NA,NA,NA,0.060080703466396,3,-339.00739706067,684.01479412134,12.6941481547353,0.000551171267432895
"56",-1.20276135369131,0.733853039718479,NA,NA,NA,0.107276177800257,0.154041470998671,-0.208519318848094,0.0951031486497732,5,-337.146717315136,684.293434630273,12.9727886636678,0.000479491101642524
"16",-1.15149856427128,0.718127896281264,NA,NA,NA,NA,0.203276822107557,NA,0.0531420262563013,3,-339.367796479707,684.735592959414,13.4149469928088,0.000384385583313399
"40",-1.13564702278918,0.695144506315374,NA,NA,NA,0.147842530592488,NA,-0.240645065339415,0.0690256379711656,4,-338.538845437248,685.077690874496,13.7570449078916,0.000323952601836865
"52",-1.17593574786579,0.721415673397217,NA,NA,-0.00465477689015414,NA,0.178602074839794,-0.185946723888072,0.0823407334476451,5,-337.832971703126,685.665943406252,14.345297439647,0.000241403775506867
"32",-1.08699840397847,0.671983655625599,NA,NA,NA,NA,NA,-0.214617625866663,0.0435784597262462,3,-339.860229357287,685.720458714574,14.3998127479695,0.000234912544643287
"5",-1.14027209904764,0.724375886364046,-0.300051772006361,NA,0.051051202436424,NA,NA,NA,0.0628861448053198,4,-338.860924711109,685.721849422219,14.4012034556141,0.000234749254086394
"24",-1.168758936061,0.72674890071417,NA,NA,NA,0.0811609979110803,0.188549954579005,NA,0.0608113424359042,4,-338.969292478938,685.938584957876,14.6179389912713,0.000210639927873908
"20",-1.14762036322129,0.715400488154375,NA,NA,-0.0273656802133724,NA,0.207523400133426,NA,0.0540444039791657,4,-339.321076071024,686.642152142047,15.3215061754426,0.000148170936062147
"36",-1.09568145836908,0.677505372166309,NA,NA,0.0335065715674885,NA,NA,-0.220423716637624,0.0449316323319616,4,-339.790853664033,687.581707328065,16.2610613614604,9.2627769905267e-05
"8",-1.07971586000363,0.678929664715973,NA,NA,NA,0.12443874356441,NA,NA,0.0184740570188333,3,-341.129804057808,688.259608115617,16.9389621490117,6.59989342325113e-05
"4",-1.04890561120832,0.664276300814251,NA,NA,0.00990854562255235,NA,NA,NA,0.00011741159747336,3,-342.037745400233,690.075490800466,18.7548448338611,2.6620916768979e-05
